user_na,user_c,t
荡荡荡了个薯片,中国人钱好赚,Sat Mar 13 09:53:36 +0800 2021
Rainie丶情愫暗生,了,Sat Mar 13 09:50:40 +0800 2021
周青春24,烂片,Sat Mar 13 09:06:38 +0800 2021
金门少爷,可以啊！我是第一次在电影院看，过些天再看一次IMAX的,Sat Mar 13 03:38:22 +0800 2021
大咖KING,不这样怎么为第二部造势，感觉缺少底气！！,Sat Mar 13 00:48:19 +0800 2021
Sunnie199103,《阿凡达》明天就重回全球票房冠军,Fri Mar 12 23:41:08 +0800 2021
改个名字真麻烦,了,Sat Mar 13 10:04:46 +0800 2021
qwerty790115,起码没卖80块钱一张吧，经典电影再看一遍还是经典,Sat Mar 13 10:00:55 +0800 2021
楊門戟魂,辫子国看辫子人如何弓箭对抗坚船利炮，爽歪歪,Sat Mar 13 10:00:05 +0800 2021
EricKingMax,是不是割韭菜,Sat Mar 13 09:57:06 +0800 2021
美妆AWU,当年真的一票难求。找黄牛买的三四百块,Sat Mar 13 09:51:31 +0800 2021
霉少女壮土,好想看泰塔尼克号的3D重映，有生之年可以等到吗😂,Sat Mar 13 09:41:39 +0800 2021
北冥39059,就是美国因为新冠导致没钱了，来中国圈钱来了，还有人欢呼，哪来的自信？,Sat Mar 13 09:19:40 +0800 2021
胡子什在武汉,国人是怎么了,Sat Mar 13 09:00:02 +0800 2021
爱吃奶糖的咖啡猪,？,Sat Mar 13 08:57:15 +0800 2021
老袁老袁97,圈中国人的钱， 还捧经典呢,Sat Mar 13 08:54:49 +0800 2021
追梦6064616853,泰坦尼克号再重映！！！,Sat Mar 13 08:51:33 +0800 2021
MckennaGraceeyes,期待波特重映,Sat Mar 13 09:53:49 +0800 2021
叫我小甜橙本橙,啊,Sat Mar 13 09:51:23 +0800 2021
名优时尚荟萃,估计是在给2做铺垫,Sat Mar 13 09:37:27 +0800 2021
秌允,打包票的说，外国片我就没有一部贡献过票房，打不了就是后面手机上看看，包括前几年很火的复联。当年外国人入侵，现在没有一个电影院是无辜的。,Sat Mar 13 09:29:55 +0800 2021
陈豆花她爹,<a href='/n/Facaifafa'>@Facaifafa</a> 去不去看 我都忘了剧情了,Sat Mar 13 09:25:44 +0800 2021
Albertoo24,过年档要是有这种电影还有国产片什么事 操,Sat Mar 13 09:08:37 +0800 2021
请加我船长大人,上映很久了 在有版权的视频网上看 也没什么，最可恶的是 电影正在上映 在那种非法网站上看偷录的  真的对不起那么多人的辛苦付出,Sat Mar 13 09:06:18 +0800 2021
名字是不是很帅02695,涛,Sat Mar 13 09:02:39 +0800 2021
limiboob,最近没啥好看的，正好去看阿凡达，嘤嘤嘤,Sat Mar 13 08:57:39 +0800 2021
抓只曲蛐逗一下,打扰各位了，麻烦好心人看下我围脖这孩子🙏🙏,Sat Mar 13 08:55:58 +0800 2021
食人魔魔法师1234,炒冷饭,Sat Mar 13 08:51:36 +0800 2021
Rangooo归来,！,Sat Mar 13 08:47:46 +0800 2021
Rangooo归来,无法逾越的经典...！！！,Sat Mar 13 08:39:27 +0800 2021
Rangooo归来,！,Sat Mar 13 08:38:08 +0800 2021
机械银河,看过的第一部3D电影？印象中是的哈哈 要去看！！,Fri Mar 12 23:32:45 +0800 2021
含霜履雪,了,Fri Mar 12 23:01:56 +0800 2021
Eric-岩岩,一直说阿凡达2，最后搞个重新上映1，为了圈钱吗？,Sat Mar 13 10:21:34 +0800 2021
苏堤--,是,Sat Mar 13 10:24:27 +0800 2021
嗯呐嗯呐对对对,昨晚刚去看，依旧很震撼，经典就是经典,Sat Mar 13 10:24:57 +0800 2021
破次元喵,妇联被超完全能接受，毕竟也当过第一了。只是这数字看着贼不爽，就差那么一点就有28亿了！,Sat Mar 13 10:24:01 +0800 2021
项逸超-,戾气真重啊，为啥看个电影都能吵起来，乐意看什么就看什么呗这有什么好争的,Sat Mar 13 10:23:17 +0800 2021
健身中的航航,阿凡达在当年剧情还可以，现在不行了,Sat Mar 13 10:22:05 +0800 2021
努力学习丫七,我还没看过，晚上看看,Sat Mar 13 10:26:35 +0800 2021
要苍天知道我不认输的小仙女,过,Sat Mar 13 10:31:11 +0800 2021
佛系三万cc,过,Sat Mar 13 10:32:22 +0800 2021
孤岛有个博物馆,爷青回,Sat Mar 13 10:32:12 +0800 2021
行走的筷子盘子碗,迫不及待的贡献了昨天第一场IMAX！太经典了！太震撼了！,Sat Mar 13 10:32:01 +0800 2021
半夜想起改名我是有多无聊,卡梅隆不是反华吗？,Sat Mar 13 10:30:39 +0800 2021
深夜小桌火炉听雨,yyds,Sat Mar 13 10:28:44 +0800 2021
肥宅不爱喝可乐,捞钱也是铺垫啊。,Sat Mar 13 10:28:25 +0800 2021
Ureyshin_,骗钱的 我就不去凑了,Sat Mar 13 10:28:13 +0800 2021
凌一浪,为什么要重映呢,Sat Mar 13 10:34:14 +0800 2021
tdgdNMSL,一定要看看imax的呈现力,Sat Mar 13 10:35:46 +0800 2021
小李迢迢,漫威：我这就安排重映,Sat Mar 13 10:35:27 +0800 2021
草稿纸有个中国梦,有意思，翻炒一波比拍新电影赚钱,Sat Mar 13 10:34:24 +0800 2021
远古且花花,我看的第一个3D电影,Sat Mar 13 10:33:38 +0800 2021
打游戏贼6,功夫也可以重映一下,Sat Mar 13 10:33:34 +0800 2021
坠入__,那些说人傻钱多的，人家好多当年没看过的，现在有这个机会去看看怎么啦？也没花你的钱真有意思,Sat Mar 13 10:34:50 +0800 2021
Mr·東石,昨天去看了，十几年前的经典3D科幻，当初没钱去影院看很遗憾，现在看来视觉特效依然是一级棒。,Sat Mar 13 10:33:55 +0800 2021
给我来瓶Vitasoy,我真没看过阿凡达..,Sat Mar 13 10:40:23 +0800 2021
对角巷的香草巧克力冰激凌店主,看,Sat Mar 13 10:39:03 +0800 2021
xhshd小鱼,绝对经典！,Sat Mar 13 10:38:50 +0800 2021
想要扑进先生怀里555,边上的13.62亿是啥意思？,Sat Mar 13 10:39:20 +0800 2021
春暖花儿开的小青春,无感，嗯，就这样。,Sat Mar 13 10:47:00 +0800 2021
奥奥利弗OOliver,中国真好赚钱,Sat Mar 13 10:45:15 +0800 2021
摄影师ysx,遗憾重塑,Sat Mar 13 10:44:37 +0800 2021
xliangen,缺钱了,Sat Mar 13 10:42:40 +0800 2021
过眼云烟不可忘,不看,Sat Mar 13 10:41:09 +0800 2021
Smile021134,的,Sat Mar 13 10:40:22 +0800 2021
傻大个先森,弥补一下自己,Sat Mar 13 10:38:07 +0800 2021
坠入__,想起哈利波特重映我老早就激动的要死说一定去看必须看，结果最后还是没去看，可能是不够爱吧唉,Sat Mar 13 10:37:21 +0800 2021
Nslookup2016,！,Sat Mar 13 10:39:00 +0800 2021
阿伟sl_,学校封闭 不然我也想去看,Sat Mar 13 10:49:15 +0800 2021
嗷嗷ao待飞,,Sat Mar 13 07:24:57 +0800 2021
梚雾归,堪称经典至今都无人超越，也是这部电影改变了电影的一个时代，张家界取的景也非常的漂亮，打算再去撸一遍！ ,Sat Mar 13 07:58:44 +0800 2021
神秘的女明星,满满的都是回忆,Sat Mar 13 07:24:05 +0800 2021
从心来过ivy,还是很期待的,Sat Mar 13 07:25:01 +0800 2021
温柔的猫猫啊,我觉得可以啊,Sat Mar 13 07:23:55 +0800 2021
嗷嗷小锦鲤,真的是爷回青,Sat Mar 13 07:24:10 +0800 2021
小桥留水哥,经典呀,Sat Mar 13 07:44:02 +0800 2021
韬的微博,太棒了，值得期待！,Sat Mar 13 07:36:23 +0800 2021
笑看人生天地宽555,:我觉得可以啊,Sat Mar 13 07:25:28 +0800 2021
笑看风云shidai,不错影片分享,Sat Mar 13 07:22:55 +0800 2021
hhhh_xswl,期待泰坦尼克号重映啊啊啊啊啊,Sat Mar 13 09:09:03 +0800 2021
风衣羽影,这电影不错,Sat Mar 13 07:55:37 +0800 2021
pqwuidg,这电影不错,Sat Mar 13 07:55:36 +0800 2021
鲁湘伟熙_936,博主，再推荐些，真心喜欢,Sat Mar 13 07:55:33 +0800 2021
poqeiyiue,好喜欢的电影，谢谢推荐,Sat Mar 13 07:55:31 +0800 2021
我是小阿天吖丶,这电影不错,Sat Mar 13 07:55:31 +0800 2021
迷路月亮忘,好喜欢的电影，谢谢推荐,Sat Mar 13 07:55:30 +0800 2021
刘德麻,好喜欢的电影，谢谢推荐,Sat Mar 13 07:55:29 +0800 2021
oiwygfgwa,博主，再推荐些，真心喜欢,Sat Mar 13 07:55:29 +0800 2021
mywqog,这电影不错,Sat Mar 13 07:55:29 +0800 2021
喵喵feilove,博主，再推荐些，真心喜欢,Sat Mar 13 07:55:28 +0800 2021
仙女穿jk,真的很棒,Sat Mar 13 07:41:47 +0800 2021
七姐199108,还是很期待的,Sat Mar 13 07:38:11 +0800 2021
佳兰正在加油挣钱,太喜欢太期待了,Sat Mar 13 07:35:39 +0800 2021
微笑的掩盖忧伤小,这也太棒了。,Sat Mar 13 07:32:57 +0800 2021
年轻心愿,好期待啊,Sat Mar 13 07:31:58 +0800 2021
娱乐叙,太喜欢了！,Sat Mar 13 07:25:17 +0800 2021
戴泡泡跑跑,期待后续吧,Sat Mar 13 07:25:17 +0800 2021
十年之约鸭鸭,真的没的说,Sat Mar 13 07:25:09 +0800 2021
仰天长啸000,阿凡达值得一看,Sat Mar 13 07:25:02 +0800 2021
村上男神,看来很受欢迎啊！,Sat Mar 13 07:24:56 +0800 2021
邮寄冷风,非常的喜欢看噢,Sat Mar 13 07:24:31 +0800 2021
追剧吃瓜了,非常的精彩,Sat Mar 13 07:24:31 +0800 2021
不晚17749,真的没话说了,Sat Mar 13 07:24:22 +0800 2021
M羋密基地,这是情怀吧,Sat Mar 13 07:24:22 +0800 2021
雨做的云为6,好想看看,Sat Mar 13 07:24:19 +0800 2021
大把大把的来,很棒的一部电影,Sat Mar 13 07:24:07 +0800 2021
开心的字母哥,非常的期待,Sat Mar 13 07:23:47 +0800 2021
初闻桃鸢,我就期待吧,Sat Mar 13 07:23:33 +0800 2021
小手冰凉abb,确实没得说,Sat Mar 13 07:23:27 +0800 2021
小李有点晕呢,真的太列害了,Sat Mar 13 07:23:21 +0800 2021
出售微笑站,不错不错！谢博主分享,Sat Mar 13 07:23:19 +0800 2021
开往小幸福,确实没得说,Sat Mar 13 07:22:53 +0800 2021
谁动了我的香菜噫,我真没去电影院看过,Sat Mar 13 09:01:34 +0800 2021
骆走心,憾,Sat Mar 13 08:47:37 +0800 2021
纯洁地武先生,拍,Sat Mar 13 08:46:54 +0800 2021
朱洲律师,好看,Sat Mar 13 08:43:42 +0800 2021
sunbeam-only,天,Sat Mar 13 08:39:22 +0800 2021
llzz66小青龙,睇,Sat Mar 13 08:13:53 +0800 2021
叁拾贰立z,搞不懂啊搞不懂(=_=),Sat Mar 13 07:56:05 +0800 2021
事事南断,还没有看啊啊，有时间一定也要去看看,Sat Mar 13 07:42:44 +0800 2021
飞奔的猪小花,不想看美国的，美国想不还钱，老赖,Sat Mar 13 07:32:20 +0800 2021
一叶今梦,效果不错啊，很好看,Sat Mar 13 07:24:32 +0800 2021
呼啦啦靓靓,确实不错,Sat Mar 13 07:23:30 +0800 2021
深夜吃泡面的南方胖子一枚,成绩不错哦,Sat Mar 13 07:23:25 +0800 2021
华姐爱战战,不会去看了,Sat Mar 13 07:23:09 +0800 2021
不愿意透露姓名的蔡先森,一,Sat Mar 13 08:26:37 +0800 2021
决界银河,看,Sat Mar 13 08:13:12 +0800 2021
Crystal泡芙7,了,Sat Mar 13 07:41:57 +0800 2021
大大伦纸,说实话我真的看不懂阿凡达，几个蓝色人跳来跳去的,Sat Mar 13 09:43:17 +0800 2021
Monyiyi,我还是想在电影院看一遍终结者2 3D,Sat Mar 13 09:35:55 +0800 2021
小蒽玥最爱爸爸妈妈,我老公有一个遗憾就是没在电影院看…,Sat Mar 13 09:29:40 +0800 2021
川岛小新,了,Sat Mar 13 09:25:38 +0800 2021
也许像猩猩,阿凡达在上海和平影院放了有好几年吧,Sat Mar 13 09:21:20 +0800 2021
NIECOUSIN,上,Sat Mar 13 09:11:25 +0800 2021
那个小不啊,已经买票。,Sat Mar 13 09:10:32 +0800 2021
撒哈拉蜉蝣,o,Sat Mar 13 09:10:24 +0800 2021
cherry55639,饭,Sat Mar 13 09:10:04 +0800 2021
以国为荣Leslie,钱,Sat Mar 13 09:10:01 +0800 2021
行不更名的胖海螺,我的第一部3D电影，明天带孩子们去重温一下,Sat Mar 13 09:08:59 +0800 2021
wizerQ_W,紧,Sat Mar 13 09:08:47 +0800 2021
骑大象走云南,剧情一般，但是特效确实美，,Sat Mar 13 09:08:23 +0800 2021
王某某想要彪高音,什么时候复联1再重映一遍啊,Sat Mar 13 09:08:14 +0800 2021
木上临风,比李焕英良心多了，imax3D的才卖50，李焕英普通厅2D一张卖70。,Sat Mar 13 09:05:26 +0800 2021
西瓜味de琪琪,圈钱。,Sat Mar 13 09:03:05 +0800 2021
四月不是你的谎言_,割韭菜,Sat Mar 13 09:01:53 +0800 2021
Wk-Sexy,这么多水军？钱可真好赚呀,Sat Mar 13 08:49:50 +0800 2021
奶油go,拍续集没钱了，再来整点,Sat Mar 13 08:49:45 +0800 2021
背影Leebh,新西兰真的是人间仙境 多少好片子都是在新西兰拍的啊 林俊杰的新专辑也是在新西兰找的灵感 还有 卡梅隆大神 真的老了诶 但也是真的牛 这么多年了 票房前三两部都是他的片子,Sat Mar 13 08:47:40 +0800 2021
雪倾念执,导演希望你健健康康的，超越你的永远是你的下一部作品,Sat Mar 13 08:46:01 +0800 2021
堯emperor,老美拿旧东西挣中国人钱，抵制！,Sat Mar 13 08:45:17 +0800 2021
雪倾念执,希望都u去看看 真的,Sat Mar 13 08:45:14 +0800 2021
梦美琦lover,真的好好看,Sat Mar 13 08:42:54 +0800 2021
哈密瓜不甜了cc,是不是觉得中国人的钱好挣，嫉妒李焕英电影票房都能在世界排名这么厉害了，所以也来重影？,Sat Mar 13 08:41:51 +0800 2021
雷浩,恰烂钱,Sat Mar 13 08:38:40 +0800 2021
快半拍就好,要是真重映我回去看，那年上学没来得及在电影院看,Sat Mar 13 08:37:40 +0800 2021
折磨王hyz,的,Sat Mar 13 08:32:43 +0800 2021
有才华的星哥,我觉得是资金不够了，然后在中国赚一笔钱，哎，可恨的资本主义,Sat Mar 13 08:31:28 +0800 2021
艾拉不是拉,收了多少钱？,Sat Mar 13 08:29:41 +0800 2021
妹夫wqdl,这电影不错,Sat Mar 13 08:29:40 +0800 2021
仁安徽莉莉,这电影不错,Sat Mar 13 08:29:40 +0800 2021
suetunes没安全感孩纸171769,求博主在推荐些,Sat Mar 13 08:29:40 +0800 2021
独钓寒江夜p,求博主在推荐些,Sat Mar 13 08:29:39 +0800 2021
天之龙皇_956,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:38 +0800 2021
DEAR老维__过往回忆,求博主在推荐些,Sat Mar 13 08:29:38 +0800 2021
老中医养生美容,求博主在推荐些,Sat Mar 13 08:29:38 +0800 2021
韩江骄革,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:37 +0800 2021
bianmingbm,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:36 +0800 2021
关-注幸运,这电影不错,Sat Mar 13 08:29:35 +0800 2021
自恋思莼清静思,求博主在推荐些,Sat Mar 13 08:29:35 +0800 2021
妹夫xifufei,这电影不错,Sat Mar 13 08:29:34 +0800 2021
贡禹弹冠I48,求博主在推荐些,Sat Mar 13 08:29:34 +0800 2021
寳458140333,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:34 +0800 2021
想小橘宝贝的每一天,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:33 +0800 2021
只一二_460,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:33 +0800 2021
小风_87810,求博主在推荐些,Sat Mar 13 08:29:34 +0800 2021
东东二十五_381,这电影不错,Sat Mar 13 08:29:33 +0800 2021
倪敏Judy,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:33 +0800 2021
张敏Linda聚,求博主在推荐些,Sat Mar 13 08:29:32 +0800 2021
唯就是D_L,求博主在推荐些,Sat Mar 13 08:29:32 +0800 2021
马甲紫江_959,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:32 +0800 2021
思敏去兔子洞,求博主在推荐些,Sat Mar 13 08:29:30 +0800 2021
桃花烧,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:30 +0800 2021
湖光魅颖,求博主在推荐些,Sat Mar 13 08:29:30 +0800 2021
泽景文Bao辰,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:30 +0800 2021
虫豸的梦想,博主，再推荐些，真心喜欢,Sat Mar 13 08:29:29 +0800 2021
沉迷单推的cdd,当时电影院看的时候还是小学生，怀念啊,Sat Mar 13 08:27:47 +0800 2021
习学好好要松南陶-,尼,Sat Mar 13 08:26:11 +0800 2021
匆匆那年一九八六,你要是差钱，我们中国有很多投资商，不过我会去电影院看，因为我在电影院看过,Sat Mar 13 08:22:27 +0800 2021
大魚Milo,他,Sat Mar 13 08:21:55 +0800 2021
---Libby---,的,Sat Mar 13 08:16:44 +0800 2021
sage万,吗,Sat Mar 13 08:16:35 +0800 2021
生旦净末丑哦,支持周星驰的大话西游系列上映！不是爷青回？,Sat Mar 13 08:15:35 +0800 2021
渡魂,神一样的导演,Sat Mar 13 08:14:36 +0800 2021
久居深海的美人鱼Zoya,要不是疫情，现在看的就是二,Sat Mar 13 08:14:08 +0800 2021
独孤龙烨,在映10个月，重映3回，，，牛逼,Sat Mar 13 08:13:53 +0800 2021
桃花谢了有玫瑰yeah,我看了，真的好,Sat Mar 13 08:12:13 +0800 2021
小美仙女喜欢猪咪向日葵,夸,Sat Mar 13 08:12:06 +0800 2021
开喜张,要看,Sat Mar 13 08:11:19 +0800 2021
云阁2015,不敢拍续集吗，只能反复重映挣钱，当我们傻,Sat Mar 13 07:59:21 +0800 2021
snail-cen,阿凡达开启3D时代，是一个电影的里程碑，票房不代表电影带来的象征性,Sat Mar 13 07:47:10 +0800 2021
阮宝喜欢奕婷,很期待鸭,Sat Mar 13 07:44:25 +0800 2021
油墨虫子,不错,Sat Mar 13 07:43:13 +0800 2021
暗黑必需品,讲难听点，这电影除了视觉还有什么？我们中国人的钱可真好赚。,Sat Mar 13 07:42:54 +0800 2021
失了分寸202101,这视觉效果真好,Sat Mar 13 07:42:07 +0800 2021
追逐淡雅小清新,效果很赞啊,Sat Mar 13 07:40:15 +0800 2021
缘之空之,满满的都是爱,Sat Mar 13 07:37:59 +0800 2021
我爱毛血旺也爱蒜蓉虾,太有感情啦,Sat Mar 13 07:33:26 +0800 2021
眼泪掉下来了哦,有点期待了,Sat Mar 13 07:32:58 +0800 2021
用户天语流芳,真是很好看,Sat Mar 13 07:30:07 +0800 2021
随风飘扬719,真的太棒了值得,Sat Mar 13 07:29:23 +0800 2021
A星承诺,非常的期待,Sat Mar 13 07:29:19 +0800 2021
悠筱云曦,竟然重新上映了,Sat Mar 13 07:28:56 +0800 2021
吐司脏脏包,很不错哦,Sat Mar 13 07:28:06 +0800 2021
hjh040512345,好喜欢啊,Sat Mar 13 07:28:02 +0800 2021
熙熙取名好难,加油,Sat Mar 13 07:26:49 +0800 2021
zhang大虫啊,太期待了啊,Sat Mar 13 07:26:32 +0800 2021
fovea恒,真的是很好看的,Sat Mar 13 07:24:39 +0800 2021
蔡卢一郎,剧组当观众是傻子吗,Sat Mar 13 07:24:38 +0800 2021
HELLO折翼天使,非常期待,Sat Mar 13 07:24:36 +0800 2021
牛头包青天,太棒了，期待,Sat Mar 13 07:24:29 +0800 2021
博龄6,>,Sat Mar 13 07:24:17 +0800 2021
又慢了一点点哦,还是很不错的,Sat Mar 13 07:24:16 +0800 2021
丸子新开始,期待期待,Sat Mar 13 07:24:12 +0800 2021
uwetsdhgs,非常的期待,Sat Mar 13 07:24:02 +0800 2021
安定轶事,求博主在推荐些,Sat Mar 13 07:23:45 +0800 2021
陶渊明2008,可以去看看,Sat Mar 13 07:23:39 +0800 2021
大爱纬度边的蚊子,我也没觉得,Sat Mar 13 07:23:35 +0800 2021
泡芙蛋糕配牛奶,非常好很棒。,Sat Mar 13 07:23:32 +0800 2021
威风细雨w,太期待了,Sat Mar 13 07:23:31 +0800 2021
spider锦鲤月,赞一个,Sat Mar 13 07:23:23 +0800 2021
爱山爱水爱自由,真心好看,Sat Mar 13 07:23:22 +0800 2021
气冲斗牛之暴富,不错的电影,Sat Mar 13 07:23:13 +0800 2021
鄒凉尘,还以为是安东尼,Sat Mar 13 08:36:18 +0800 2021
宇宙第一正经人,挣钱嘛 不丢人,Sat Mar 13 08:22:23 +0800 2021
什么都卖的小蓝孩,韭菜割得真麻利…,Sat Mar 13 07:56:36 +0800 2021
幸福就快快乐乐,挺不错的，阿凡达值得一看,Sat Mar 13 07:27:47 +0800 2021
愤怒的小拳王,一票难求,Sat Mar 13 07:26:08 +0800 2021
四方同一行,周末的时候我也要带孩子去看,Sat Mar 13 07:23:41 +0800 2021
拂袖天香2187155463_599,求博主在推荐些,Sat Mar 13 08:29:44 +0800 2021
千万不能的全部,求博主在推荐些,Sat Mar 13 08:29:43 +0800 2021
好呢人不够,这电影不错,Sat Mar 13 08:29:32 +0800 2021
生你气我都,好喜欢的电影，谢谢推荐,Sat Mar 13 08:29:30 +0800 2021
不止好看也要快乐,小时候的回忆,Sat Mar 13 08:29:20 +0800 2021
MMMLove-Buding,家里投影一个样,Sat Mar 13 08:13:44 +0800 2021
果为天使,求博主在推荐些,Sat Mar 13 07:55:31 +0800 2021
赢鑫电子商务4,这个真的好看,Sat Mar 13 07:55:29 +0800 2021
给你微笑815,期待播出,Sat Mar 13 07:47:01 +0800 2021
饵块成精,<a href='/n/肖啊业'>@肖啊业</a> 咱俩可以去看阿凡达,Sat Mar 13 09:10:41 +0800 2021
troopeke_10407,好电影都是特效加内涵 两者缺一不可 内涵更重要一点 我很喜欢阿凡达传达的这种理念,Sat Mar 13 09:06:49 +0800 2021
Rangooo归来,！,Sat Mar 13 08:47:08 +0800 2021
Rangooo归来,！,Sat Mar 13 08:40:28 +0800 2021
会腿咚的邓先森,卡梅隆回应称：中国那些沙雕的钱太特妈好赚了！,Sat Mar 13 08:37:44 +0800 2021
楠木小瓜子,求博主在推荐些,Sat Mar 13 08:29:59 +0800 2021
梚雾归,堪称经典至今都无人超越，也是这部电影改变了电影的一个时代，张家界取的景也非常的漂亮，打算再去撸一遍！ ,Sat Mar 13 08:48:39 +0800 2021
神秘的女明星,满满的都是回忆,Sat Mar 13 08:48:29 +0800 2021
神秘的女明星,这部电影很有内涵,Sat Mar 13 08:48:59 +0800 2021
黑虎穷捆小羊,一起互动,Sat Mar 13 08:49:38 +0800 2021
仙女杂货铺啊,d,Sat Mar 13 08:48:34 +0800 2021
黑虎穷捆小羊,好期待啊,Sat Mar 13 08:49:11 +0800 2021
胸是炒鸡蛋777,重温一下,Sat Mar 13 08:50:31 +0800 2021
风动心懂爱,好期待啊,Sat Mar 13 08:52:35 +0800 2021
刘小胖的铲屎官,真的厉害啊,Sat Mar 13 08:51:12 +0800 2021
辣子酱o,满满的回忆 期待重现,Sat Mar 13 08:50:49 +0800 2021
卡咘奇nuo,真的不错,Sat Mar 13 08:50:41 +0800 2021
黄桃桃就是我,确实很牛的呢,Sat Mar 13 08:50:30 +0800 2021
爱情孤舟小岛,期待这部巨作上映,Sat Mar 13 08:50:29 +0800 2021
你的笑俘获我的心,不错超级好看好看啊,Sat Mar 13 08:50:30 +0800 2021
余梦娜13,这电影不错,Sat Mar 13 08:50:28 +0800 2021
东北小恒阳,超级想看看了第一遍，想看第二遍,Sat Mar 13 08:50:22 +0800 2021
真正假假,真的是很牛逼啊,Sat Mar 13 08:50:19 +0800 2021
